1,5
2,6
3,7
4,6
5,9
6,9
7,3
8,9
9,10
10,5
11,4
12,7
13,5
14,8
15,9
16,3
17,8
18,4
19,5
20,10
21,9
502,5
23,9
24,6
25,6
26,4
27,10
28,4
503,7
30,4
504,5
505,9
33,8
34,4
35,6
36,10
37,7
38,4
39,9
40,3
41,10
42,9
43,4
44,4
45,10
46,9
47,3
48,5
49,2
50,6
51,8
52,6
53,8
54,4
55,6
56,4
57,3
506,4
59,5
60,5
61,6
62,3
63,4
506,4
65,8
66,9
67,4
68,6
69,7
70,9
507,3
72,3
73,2
508,4
75,6
76,4
77,7
78,7
79,10
80,7
81,6
82,4
83,6
84,9
509,4
86,9
87,9
88,9
89,6
90,3
91,5
92,10
93,10
94,10
510,10
96,2
97,2
98,9
99,5
100,2
