270101636,DA105,q01s1,0,q01s2,6
270101636,DA105,q02s1,3,q02s2,1
270101636,DA105,q03s1,8,q03s2,10
270101636,DA105,q04s1,9,q04s2,5
270101636,DA105,q05s1,1,q05s2,9
270101636,DA105,q06s1,4,q06s2,9
270101636,DA105,q07s1,2,q07s2,7
270101636,DA105,q08s1,7,q08s2,6
270101636,DA105,q09s1,3,q09s2,7
270101636,DA105,q10s1,10,q10s2,4
270101636,DA105,q11s1,5,q11s2,3
270101636,DA105,q12s1,6,q12s2,10
270101331,DA105,q01s1,9,q01s2,6
270101331,DA105,q02s1,1,q02s2,7
270101331,DA105,q03s1,6,q03s2,5
270101331,DA105,q04s1,1,q04s2,2
270101331,DA105,q05s1,1,q05s2,10
270101331,DA105,q06s1,9,q06s2,8
270101331,DA105,q07s1,10,q07s2,5
270101331,DA105,q08s1,0,q08s2,0
270101331,DA105,q09s1,9,q09s2,7
270101331,DA105,q10s1,4,q10s2,5
270101331,DA105,q11s1,3,q11s2,10
270101331,DA105,q12s1,0,q12s2,0
270101138,DA105,q01s1,4,q01s2,9
270101138,DA105,q02s1,0,q02s2,10
270101138,DA105,q03s1,7,q03s2,2
270101138,DA105,q04s1,2,q04s2,7
270101138,DA105,q05s1,10,q05s2,6
270101138,DA105,q06s1,0,q06s2,5
270101138,DA105,q07s1,2,q07s2,7
270101138,DA105,q08s1,1,q08s2,9
270101138,DA105,q09s1,10,q09s2,2
270101138,DA105,q10s1,4,q10s2,7
270101138,DA105,q11s1,9,q11s2,10
270101138,DA105,q12s1,7,q12s2,8
270101505,DA105,q01s1,3,q01s2,1
270101505,DA105,q02s1,7,q02s2,0
270101505,DA105,q03s1,5,q03s2,3
270101505,DA105,q04s1,6,q04s2,8
270101505,DA105,q05s1,7,q05s2,3
270101505,DA105,q06s1,5,q06s2,0
270101505,DA105,q07s1,2,q07s2,9
270101505,DA105,q08s1,6,q08s2,10
270101505,DA105,q09s1,6,q09s2,6
270101505,DA105,q10s1,8,q10s2,0
270101505,DA105,q11s1,5,q11s2,8
270101505,DA105,q12s1,9,q12s2,2
270101388,DA105,q01s1,0,q01s2,10
270101388,DA105,q02s1,2,q02s2,6
270101388,DA105,q03s1,4,q03s2,5
270101388,DA105,q04s1,2,q04s2,7
270101388,DA105,q05s1,1,q05s2,0
270101388,DA105,q06s1,2,q06s2,10
270101388,DA105,q07s1,2,q07s2,0
270101388,DA105,q08s1,6,q08s2,4
270101388,DA105,q09s1,5,q09s2,0
270101388,DA105,q10s1,3,q10s2,9
270101388,DA105,q11s1,10,q11s2,1
